number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder
2480,10/16/2015,Babies for Bernie!!! ,Jersey City,Bernie,Acoustic Guitar,Acoustic Guitar,,Silly,Clean,Rock,Funny,Funny,,,Jupiter,1:30,G,125,https://www.youtube.com/watch?v=1FjU2u8X2w0,"Background, Location, Mood, Beard, Topic, Instrument"
2481,10/17/2015,Don't Play ,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,"Rambling, Rough",Rambling,Rough,,,2:44,C,118,https://www.youtube.com/watch?v=6MKCOIE0EHI,"Background, Location, Mood, Beard, Topic, Instrument"
2482,10/18/2015,I Don't Even Want to Turn on the Light,Jersey City,Jupiter,Baritone Ukulele,Baritone Ukulele,,Sad,Beard,Folk,"Rambling, Rough, Personal",Rambling,"Rough, Personal",Sick,,1:45,Bm,100,https://www.youtube.com/watch?v=i0U2E9ElrWQ,"Background, Location, Mood, Beard, Topic, Instrument"
2483,10/19/2015,Donald Trump Sex Doll,Jersey City Studio,Trump,"Piano, Electric Guitar, Bass, Drums, Drum Machine",Piano,"Electric Guitar, Bass, Drums, Drum Machine",Angry,Clean,Electro,Funny,Funny,,,,1:50,C,80,https://www.youtube.com/watch?v=zrINcVFwrGw,"Background, Location, Mood, Beard, Topic, Instrument"
2484,10/20/2015,Oh No ,Jersey City,Weather,Baritone Ukulele,Baritone Ukulele,,Chill,Beard,Folk,"Rambling, Rough, Wistful",Rambling,"Rough, Wistful",,Jupiter,2:14,Ab,98,https://www.youtube.com/watch?v=BvF6IOPj13g,"Background, Location, Mood, Beard, Topic, Instrument"
2485,10/21/2015,Back to the Future,Jersey City,Life,Bass,Bass,,Silly,Beard,Folk,Rambling,Rambling,,,,1:26,B,90,https://www.youtube.com/watch?v=dArxpfYDuws,"Background, Location, Mood, Beard, Topic, Instrument"
2486,10/22/2015,Taco Emoji : Clinton Benghazi ,Jersey City Studio,Clinton,"Synths, Electric Guitar",Synths,Electric Guitar,Silly,Clean,Electro,Funny,Funny,,,,0:38,D,132,https://www.youtube.com/watch?v=IH6gMOzIp6k,"Background, Location, Mood, Beard, Topic, Instrument"
2487,10/23/2015,Where am I?,"Olivebridge, NY",Life,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,"Funny, Rambling",Funny,Rambling,Hotel,,2:14,Em,132,https://www.youtube.com/watch?v=BBLOpuJVHhE,"Background, Location, Mood, Beard, Topic, Instrument"
2488,10/24/2015,Don't Fall in the Creek,"Olivebridge, NY",Conference,Acoustic Guitar,Acoustic Guitar,,Silly,Beard,Folk,Funny,Funny,,,,5:36,E,98,https://www.youtube.com/watch?v=sTCStkcvg2g,"Background, Location, Mood, Beard, Topic, Instrument"
2489,10/25/2015,On the Rollercoaster ,"Olivebridge, NY",Conference,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,Funny,Funny,,,,4:05,C,107,https://www.youtube.com/watch?v=5-0hdbuyePE,"Background, Location, Mood, Beard, Topic, Instrument"
2490,10/26/2015,We Didn't Fall in the Creek ,"Olivebridge, NY",Conference,Acoustic Guitar,Acoustic Guitar,,Silly,Beard,Folk,Funny,Funny,,,,4:01,Bb,107,https://www.youtube.com/watch?v=WhZCJ9QLwyM,"Background, Location, Mood, Beard, Topic, Instrument"
2491,10/27/2015,The Sanctity of the Big Tent ,Jersey City Studio,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Angry,Beard,Rock,Frustrated,Frustrated,,,,2:50,F,94,https://www.youtube.com/watch?v=8cNnYEXdsLU,"Background, Location, Mood, Beard, Topic, Instrument"
2492,10/28/2015,I Can't FIgure It Out ,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,"Rambling, Rough, Wistful",Rambling,"Rough, Wistful",Time,,2:14,A,110,https://www.youtube.com/watch?v=5QBpuT7igDg,"Background, Location, Mood, Beard, Topic, Instrument"
2493,10/29/2015,Donwannawrite ,Jersey City Studio,Song A Day,"Synths, Drum Machine",Synths,Drum Machine,Intense,Beard,Electro,"Funny, Weird",Funny,Weird,,,0:26,E,75,https://www.youtube.com/watch?v=E-YrpVMxBKw,"Background, Location, Mood, Beard, Topic, Instrument"
2494,10/30/2015,Processed Sugar ,Jersey City Studio,Poetic,"Piano, Bass, Drums",Piano,"Bass, Drums",Chill,Clean,Folk,"Groovy, Good",Groovy,Good,,,2:16,D,80,https://www.youtube.com/watch?v=0wOIXpDQlgE,"Background, Location, Mood, Beard, Topic, Instrument"
2495,10/31/2015,Halloween Trampoline ,Jersey City,Jupiter,Acoustic Guitar,Acoustic Guitar,,Silly,Beard,Folk,Fun,Fun,,Halloween,,1:14,Bb,82,https://www.youtube.com/watch?v=KGuPzGcHERQ,"Background, Location, Mood, Beard, Topic, Instrument"
2496,11.01.2015,Twist and Toss ,Jersey City,Jupiter,Acoustic Guitar,Acoustic Guitar,,Chill,Clean,Folk,Wistful,Wistful,,,,2:57,Eb,88,https://www.youtube.com/watch?v=dvb16mkdNuI,"Background, Location, Mood, Beard, Topic, Instrument"
2497,11.02.2015,The True Cost of Believing,Jersey City Studio,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,"Rambling, Wistful, Dark, Soulful",Rambling,"Wistful, Dark, Soulful",,,3:20,D,112,https://www.youtube.com/watch?v=YgKtxL8fPRk,"Background, Location, Mood, Beard, Topic, Instrument"
2498,11.03.2015,You Are the End of a Very Long Line,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Intense,Beard,Folk,"Rambling, Wistful, Dark, Soulful",Rambling,"Wistful, Dark, Soulful",,,1:27,D,114,https://www.youtube.com/watch?v=erN4BxgeWrU,"Background, Location, Mood, Beard, Topic, Instrument"
2499,11.04.2015,Stay in Your Lane,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Tired,Beard,Folk,"Rambling, Personal, Rough",Rambling,"Personal, Rough",,,0:36,C,110,https://www.youtube.com/watch?v=UFaPQp7p3yI,"Background, Location, Mood, Beard, Topic, Instrument"
2500,11.05.2015,Feel the Weight,Jersey City Studio,Poetic,Baritone Ukulele,Baritone Ukulele,,Intense,Beard,Folk,"Wistful, Dark, Soulful",Wistful,"Dark, Soulful",,,4:14,G,108,https://www.youtube.com/watch?v=f5ZgsPls90I,"Background, Location, Mood, Beard, Topic, Instrument"
2501,11.06.2015,Straightness Training (In Horses) ,Jersey City Studio,Commission,"Electric Guitar, Synths, Bass, Drums",Electric Guitar,"Synths, Bass, Drums",Silly,Beard,Electro,Fun,Fun,,Horses,,2:26,F,110,https://www.youtube.com/watch?v=4dRGRcOrBEg,"Background, Location, Mood, Beard, Topic, Instrument"
2502,11.07.2015,Zygote ,Jersey City,Nerd,Bass,Bass,,Chill,Beard,Folk,"Wistful, Soulful",Wistful,Soulful,,,3:14,E,112,https://www.youtube.com/watch?v=kBBQw79pyn4,"Background, Location, Mood, Beard, Topic, Instrument"
2503,11.08.2015,I Won't Bother You Again,Jersey City,Childhood,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Wistful, Soulful, Rambling",Wistful,"Soulful, Rambling",,"Westford, VT",2:54,E,80,https://www.youtube.com/watch?v=R0mnRdPek7o,"Background, Location, Mood, Beard, Topic, Instrument"
2504,11.09.2015,Synology Theme Song,Jersey City Studio,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Excited,Beard,Electro,"Fun, Driving",Fun,Driving,,,2:20,C,76,https://www.youtube.com/watch?v=sZjvIOmQIQs,"Background, Location, Mood, Beard, Topic, Instrument"
2505,11.10.2015,Away,Jersey City,Poetic,Banjo,Banjo,,Pensive,Beard,Folk,"Rambling, Wistful",Rambling,Wistful,,,1:19,G,112,https://www.youtube.com/watch?v=7cDqxoXFXhs,"Background, Location, Mood, Beard, Topic, Instrument"
2506,11.11.2015,The Best Day of My Life,Jersey City Studio,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Narrative, Wistful, Rambling",Narrative,"Wistful, Rambling",,,5:46,Db,96,https://www.youtube.com/watch?v=MZ-55juJDKs,"Background, Location, Mood, Beard, Topic, Instrument"
2507,11.12.2015,Another Made Up Song,Jersey City,Song A Day,Acoustic Guitar,Acoustic Guitar,,Tired,Beard,Folk,"Rambling, Rough",Rambling,Rough,Improv,,1:20,Abm,100,https://www.youtube.com/watch?v=InZofJRaDa8,"Background, Location, Mood, Beard, Topic, Instrument"
2508,11/13/2015,Lifeisn't Fair,Severna Park,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Beard,Folk,"Bad, Rambling",Bad,Rambling,,,0:59,A,132,https://www.youtube.com/watch?v=aEh6grtcWUY,"Background, Location, Mood, Beard, Topic, Instrument"
2509,11/14/2015,Paris Was Made for Love,Severna Park,Cover,Baritone Ukulele,Baritone Ukulele,,Sad,Beard,Folk,Soulful,Soulful,,,Jonathan Richman,3:01,Bb,112,https://www.youtube.com/watch?v=2dpfSFV9xoU,"Background, Location, Mood, Beard, Topic, Instrument"
2510,11/15/2015,Laser Eyes ,Jersey City Studio,Debate,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Excited,Clean,Electro,Funny,Funny,,,,0:44,F,140,https://www.youtube.com/watch?v=UXoh9p7xSD0,"Background, Location, Mood, Beard, Topic, Instrument"
2511,11/16/2015,Universe's Bodily Functions,Jersey City Studio,Nerd,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Rambling, Wistful, Soulful",Rambling,"Wistful, Soulful",Time,,4:41,Db,99,https://youtu.be/u5Zt3cAjVJA,"Background, Location, Mood, Beard, Topic, Instrument"
2512,11/17/2015,You Can Never Go Home Again,Jersey City Studio,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Wistful, Soulful",Wistful,Soulful,,,3:07,E,104,https://youtu.be/u5rq4C8FCBk,"Background, Location, Mood, Beard, Topic, Instrument"
2513,11/18/2015,California,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Wistful, Soulful",Wistful,Soulful,,,3:55,F#,78,https://youtu.be/zpMIhnAkXzU,"Background, Location, Mood, Beard, Topic, Instrument"
2514,11/19/2015,Had Enough,"Avon, CT",Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,"Rambling, Rough",Rambling,Rough,,,2:31,D,116,https://youtu.be/y9ZvK_D6o4s,"Background, Location, Mood, Beard, Topic, Instrument"
2515,11/20/2015,6 Years and 4 Kids,Jersey City Studio,Commission,"Electric Guitar, Piano, Bass, Drums",Electric Guitar,"Piano, Bass, Drums",Excited,Clean,Rock,Fun,Fun,,,,2:08,G,126,https://youtu.be/9lE5xatXweY,"Background, Location, Mood, Beard, Topic, Instrument"
2516,11/21/2015,Jesus Was a Refugee,"Avon, CT",Politics,Acoustic Guitar,Acoustic Guitar,,Hopeful,Beard,Folk,"Wistful, Soulful, Rambling",Wistful,"Soulful, Rambling",,Jesus,2:25,B,110,https://youtu.be/D_cVtZu94lU,"Background, Location, Mood, Beard, Topic, Instrument"
2517,11/22/2015,Donald Trump is Reminding Me of Hitler,"Avon, CT",Trump,Acoustic Guitar,Acoustic Guitar,,Anxious,Beard,Folk,Scary,Scary,,,,2:33,C,128,https://youtu.be/wBJsfRD_Wfo,"Background, Location, Mood, Beard, Topic, Instrument"
2518,11/23/2015,The rules of Hip HopS (The beer card game) ,Jersey City Studio,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Excited,Beard,Electro,"Funny, Fun",Funny,Fun,Board Game,,2:01,D,120,https://www.youtube.com/watch?v=fofkjYu1VRo,"Background, Location, Mood, Beard, Topic, Instrument"
2519,11/24/2015,Anonymous Trolls,"Avon, CT",Internet,Acoustic Guitar,Acoustic Guitar,,Sad,Beard,Folk,"Wistful, Rambling, Rough",Wistful,"Rambling, Rough",InternetTrolls,,3:16,G#m,98,https://www.youtube.com/watch?v=D2E6Yy03ESU,"Background, Location, Mood, Beard, Topic, Instrument"
2520,11/25/2015,I Know You're Not There ,"Avon, CT",Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Blues,Groovy,Groovy,,,,2:30,Db,120,https://youtu.be/jIglRaZBaEE,"Background, Location, Mood, Beard, Topic, Instrument"
2521,11/26/2015,Zombie Turkey 2015,"Avon, CT",Animals,Acoustic Guitar,Acoustic Guitar,,Silly,Beard,Folk,Funny,Funny,,"Zombies, Turkey",,4:04,C#m,82,https://www.youtube.com/watch?v=U0tc1NKgrjc,"Background, Location, Mood, Beard, Topic, Instrument"
2522,11/27/2015,I Won't Let Go of Hope,"Avon, CT",Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,"Wistful, Rambling, Rough",Wistful,"Rambling, Rough",,,3:17,B,112,https://www.youtube.com/watch?v=Z1RvcD5V7cM,"Background, Location, Mood, Beard, Topic, Instrument"
2523,11/28/2015,Driving All Day,Jersey City,Song A Day,Banjo,Banjo,,Tired,Beard,Folk,Rambling,Rambling,,,,3:12,Em,100,https://youtu.be/XZ7XasSJNis,"Background, Location, Mood, Beard, Topic, Instrument"
2524,11/29/2015,Today,Jersey City,Life,Acoustic Guitar,Acoustic Guitar,,Anxious,Beard,Folk,"Wistful, Rambling, Rough",Wistful,"Rambling, Rough",,,2:31,B,104,https://www.youtube.com/watch?v=2TkLpLuHoao,"Background, Location, Mood, Beard, Topic, Instrument"
2525,11/30/2015,Selling My Mac Mini,Jersey City Studio,Apple,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Silly,Beard,Electro,Funny,Funny,,,,2:22,A,100,https://www.youtube.com/watch?v=RW_ckZDmQO0,"Background, Location, Mood, Beard, Topic, Instrument"
2526,12.01.2015,Step,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Intense,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,2:26,B,78,https://www.youtube.com/watch?v=VaxDAr--QN8,"Background, Location, Mood, Beard, Topic, Instrument"
2527,12.02.2015,Between Us and Apes,Jersey City Studio,Life,Acoustic Guitar,Acoustic Guitar,,Silly,Beard,Folk,Rambling,Rambling,,,,2:15,F,100,https://youtu.be/F7epBV3dE3A,"Background, Location, Mood, Beard, Topic, Instrument"
2528,12.03.2015,Empty Prayers vs. NRA Donations,Jersey City Studio,Politics,Acoustic Guitar,Acoustic Guitar,,Angry,Beard,Folk,"Frustrated, Wistful",Frustrated,Wistful,Guns,,2:17,D,144,https://youtu.be/Y4v6Ou5jVkA,"Background, Location, Mood, Beard, Topic, Instrument"
2529,12.04.2015,You Can Have Everything You Want,Jersey City,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,2:36,C,116,https://www.youtube.com/watch?v=wKOmcP78EZI,"Background, Location, Mood, Beard, Topic, Instrument"
2530,12.05.2015,Your Quilt,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,2:47,B,118,https://youtu.be/hZrOSCaIY1o,"Background, Location, Mood, Beard, Topic, Instrument"
2531,12.06.2015,Sick Circular Sick ,Jersey City,Sick,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,Dreamy,Dreamy,,,,2:59,F#,134,https://www.youtube.com/watch?v=H7chRgl9yM4,"Background, Location, Mood, Beard, Topic, Instrument"
2532,12.07.2015,Everybody's Sick ,Jersey City,Sick,Guitalele,Guitalele,,Tired,Beard,Folk,Funny,Funny,,,Mario Opera,0:51,B,104,https://www.youtube.com/watch?v=jT4T0gU_X9M,"Background, Location, Mood, Beard, Topic, Instrument"
2533,12.08.2015,Back in the Day ,Jersey City Studio,Life,"Piano, Synths, Samples, Drum Machine",Piano,"Synths, Samples, Drum Machine",Pensive,Beard,Electro,"80s, Fun, Wistful",80s,"Fun, Wistful",,,2:13,G,80,https://www.youtube.com/watch?v=AX1sfx_8vCQ,"Background, Location, Mood, Beard, Topic, Instrument"
2534,12.09.2015,BenDan,Jersey City Studio,Commission,"Synths, Drum Machine",Synths,Drum Machine,Silly,Beard,Electro,Fun,Fun,,,,1:16,C,90,https://www.youtube.com/watch?v=Oots1roKUkI,"Background, Location, Mood, Beard, Topic, Instrument"
2535,12.10.2015,Beepy on My Back,Jersey City Studio,Jupiter,"Synths, Drum Machine",Synths,Drum Machine,Silly,Beard,Electro,"Fun, Wistful, Dreamy",Fun,"Wistful, Dreamy",,,1:25,F,90,https://www.youtube.com/watch?v=08jlmDDbo44,"Background, Location, Mood, Beard, Topic, Instrument"
2536,12.11.2015,Where Did I Go Right?,Jersey City,Poetic,Piano,Piano,,Pensive,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,4:56,C,95,https://youtu.be/5b6Fg9g0FkA,"Background, Location, Mood, Beard, Topic, Instrument"
2537,12.12.2015,You Can't Find Me ,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,3:06,F#m,117,https://youtu.be/dAl0hq55Ta8,"Background, Location, Mood, Beard, Topic, Instrument"
2538,12/13/2015,Sam the Zombie Dog Who is Also a Data Analyst ,Jersey City Studio,Commission,"Synths, Drum Machine",Synths,Drum Machine,Silly,Beard,Electro,"80s, Fun, Driving",80s,"Fun, Driving",Dogs,,3:20,F,80,https://youtu.be/yNP6F8xqz34,"Background, Location, Mood, Beard, Topic, Instrument"
2539,12/14/2015,Sasha and Keri,Jersey City Studio,Commission,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Silly,Beard,Rock,Fun,Fun,,,,2:12,G,80,https://youtu.be/ur9UYTFjpJ4,"Background, Location, Mood, Beard, Topic, Instrument"
2540,12/15/2015,Johnnie and Quinn,Jersey City Studio,Commission,"Organ, Piano, Electric Guitar, Bass, Drums",Organ,"Piano, Electric Guitar, Bass, Drums",Pensive,Beard,Rock,Wistful,Wistful,,,,2:23,A,100,https://www.youtube.com/watch?v=FI2teGyH3fY,"Background, Location, Mood, Beard, Topic, Instrument"
2541,12/16/2015,Mac and Cheese Lullaby,Jersey City Studio,Commission,"Electric Guitar, Bass, Drum Machine",Electric Guitar,"Bass, Drum Machine",Pensive,Beard,Folk,"Fun, Funny, Wistful, Lullaby",Fun,"Funny, Wistful, Lullaby",,,2:21,G,110,https://www.youtube.com/watch?v=3Togmd_FfLE,"Background, Location, Mood, Beard, Topic, Instrument"
2542,12/17/2015,Happy Martin Shkreli Got Arrested Day! ,Jersey City Studio,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Happy,Beard,Rock,Fun,Fun,,,Martin Shkreli,3:59,G,120,https://www.youtube.com/watch?v=p1bHQWlMRJE,"Background, Location, Mood, Beard, Topic, Instrument"
2543,12/18/2015,Sammy the Chlamy!,Jersey City Studio,Science,"Piano, Electric Guitar, Bass, Drums",Piano,"Electric Guitar, Bass, Drums",Silly,Beard,Rock,"Educational, Fun",Educational,Fun,,chlamydomonas reinhardtii,3:29,G,80,https://youtu.be/B2ftWvnBanY,"Background, Location, Mood, Beard, Topic, Instrument"
2544,12/19/2015,No Sure Thing,Jersey City,Poetic,Bass,Bass,,Pensive,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,2:15,D,84,https://www.youtube.com/watch?v=KIReNQBZ6r8,"Background, Location, Mood, Beard, Topic, Instrument"
2545,12/20/2015,Star Wars Papa,Jersey City Studio,Nerd,"Piano, Bass, Electric Guitar, Drums",Piano,"Bass, Electric Guitar, Drums",Intense,Beard,Soul,"Wistful, Smooth, Groovy",Wistful,"Smooth, Groovy",Collab,Star Wars,5:13,F,80,https://www.youtube.com/watch?v=6D4Z6bCEZzs,"Background, Location, Mood, Beard, Topic, Instrument"
2546,12/21/2015,Mort's Music Shoppe,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Narrative, Wistful, Rambling",Narrative,"Wistful, Rambling",,Songonauts,1:39,B,114,https://www.youtube.com/watch?v=BTiFV26JmGY,"Background, Location, Mood, Beard, Topic, Instrument"
2547,12/22/2015,Two Ear infections and Pink Eye,Jersey City,Sick,Ukulele,Ukulele,,Sad,Beard,Folk,Depressed,Depressed,,,,0:45,F,125,https://youtu.be/YCk_-uK5v8w,"Background, Location, Mood, Beard, Topic, Instrument"
2548,12/23/2015,A Place I Know,Jersey City Studio,Poetic,"Piano, Electric Guitar, Bass, Drum Machine",Piano,"Electric Guitar, Bass, Drum Machine",Pensive,Beard,Soul,"Groovy, Dark, Smooth, Narrative",Groovy,"Dark, Smooth, Narrative",,Songonauts,1:16,D,88,https://www.youtube.com/watch?v=r3v1tzMMygo,"Background, Location, Mood, Beard, Topic, Instrument"
2549,12/24/2015,Trump v Sanders: Women Going to the Bathroom ,Jersey City Studio,Bernie,"Electric Guitar, Bass, Drum Machine",Electric Guitar,"Bass, Drum Machine",Silly,Beard,Rock,Funny,Funny,,,,1:08,C,120,https://youtu.be/hqL34sfnD5g,"Background, Location, Mood, Beard, Topic, Instrument"
2550,12/25/2015,The North Pole Has Fallen Over,Jersey City,Apocalypse,Acoustic Guitar,Acoustic Guitar,,Sad,Beard,Folk,Wistful,Wistful,,,,2:32,D,116,https://youtu.be/HINUI6NosJc,"Background, Location, Mood, Beard, Topic, Instrument"
2551,12/26/2015,Ain't That Just Luck ,Jersey City,Poetic,Bass,Bass,,Chill,Beard,Folk,"Rambling, Personal",Rambling,Personal,,,1:47,G,110,https://www.youtube.com/watch?v=UKuo30CsE_0,"Background, Location, Mood, Beard, Topic, Instrument"
2552,12/27/2015,Hats What I Said,Jersey City,Poetic,Ukulele,Ukulele,,Pensive,Beard,Folk,Rambling,Rambling,,,,0:21,G,96,https://www.youtube.com/watch?v=EXjOuHsLOLM,"Background, Location, Mood, Beard, Topic, Instrument"
2553,12/28/2015,Nobody Knows ,Jersey City,Poetic,Ukulele,Ukulele,,Silly,Beard,Blues,Funny,Funny,,,Face Swap,1:59,Am,134,https://www.youtube.com/watch?v=HMIwwY3Wna8,"Background, Location, Mood, Beard, Topic, Instrument"
2554,12/29/2015,Empty My Pocket,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,Wistful,Wistful,,,,0:58,C#m,82,https://www.youtube.com/watch?v=2lgyARLT0u0,"Background, Location, Mood, Beard, Topic, Instrument"
2555,12/30/2015,The Bitterness That Winter Brings ,Jersey City,Poetic,Banjo,Banjo,,Pensive,Beard,Blues,"Wistful, Rambling, Narrative, Myth",Wistful,"Rambling, Narrative, Myth",,,1:59,Gm,110,https://www.youtube.com/watch?v=IM4UYerGoIE,"Background, Location, Mood, Beard, Topic, Instrument"
2556,12/31/2015,New Years Eve 2015,Jersey City,Song A Day,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Rambling, Personal",Rambling,Personal,Milestone,,2:44,E,104,https://www.youtube.com/watch?v=qN-uAeLQUok,"Background, Location, Mood, Beard, Topic, Instrument"
2557,01.01.2016,Songaday.org,Jersey City,Song A Day,Acoustic Guitar,Acoustic Guitar,,Excited,Beard,Folk,"Fun, Rambling",Fun,Rambling,,,3:00,D,120,https://www.youtube.com/watch?v=vXGZ4MH_-KA,"Background, Location, Topic, Mood, Instrument, Beard"
2558,01.02.2016,All is Not Lost,Jersey City,Poetic,Bass,Bass,,Pleading,Beard,Folk,"Rambling, Rough, Personal",Rambling,"Rough, Personal",,,1:55,D,104,https://www.youtube.com/watch?v=MjcGxg2N6EQ,"Background, Location, Topic, Mood, Instrument, Beard"
2559,01.03.2016,Only Old People Watch Cable News,Jersey City,TV,Ukulele,Ukulele,,Chill,Beard,Folk,"Delicate, Dark",Delicate,Dark,Death,,1:55,C,117,https://youtu.be/nnzkqAXSyRA,"Background, Location, Topic, Mood, Instrument, Beard"
2560,01.04.2016,Terrorists in Oregon,Jersey City,Politics,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,Frustrated,Frustrated,,Guns,,1:57,E,143,https://youtu.be/HJp0_uNgYeM,"Background, Location, Topic, Mood, Instrument, Beard"
2561,01.05.2016,Your Friends Are All Here,Jersey City Studio,Poetic,"Electric Guitar, Organ, Bass, Drums",Electric Guitar,"Organ, Bass, Drums",Pensive,Beard,Rock,"Anthem, Delicate, Fun",Anthem,"Delicate, Fun",,Songonauts,3:28,D,90,https://youtu.be/qDJY6YZFeWw,"Background, Location, Topic, Mood, Instrument, Beard"
2562,01.06.2016,Shhhhhh,Jersey City,Improv,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Funny, Weird",Funny,Weird,,,3:10,Am,88,https://youtu.be/Z1xLPbuoheQ,"Background, Location, Topic, Mood, Instrument, Beard"
2563,01.07.2016,Keep Your 10k,Jersey City Studio,Twitter,Acoustic Guitar,Acoustic Guitar,,Pleading,Beard,Folk,"Funny, Frustrated",Funny,Frustrated,,,1:53,Eb,89,https://youtu.be/lzSHXUFIUy4,"Background, Location, Topic, Mood, Instrument, Beard"
2564,01.08.2016,Everybody's So Awake,Jersey City,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Wistful, Rough, Rambling, Dreamy",Wistful,"Rough, Rambling, Dreamy",,,1:59,A,110,https://www.youtube.com/watch?v=C1tQvHxqG88,"Background, Location, Topic, Mood, Instrument, Beard"
2565,01.09.2016,Share It With the World,Jersey City,Poetic,Guitalele,Guitalele,,Chill,Beard,Folk,"Rambling, Rough, Personal",Rambling,"Rough, Personal",,,3:06,D,99,https://youtu.be/HRiSwdwRdL8,"Background, Location, Topic, Mood, Instrument, Beard"
2566,01.10.2016,Just Say Anything at All,Jersey City,Poetic,Guitalele,Guitalele,,Chill,Beard,Folk,"Rambling, Rough, Good, Motivational",Rambling,"Rough, Good, Motivational",,,2:26,A,108,https://youtu.be/V1hTM6fU6L8,"Background, Location, Topic, Mood, Instrument, Beard"
2567,01.11.2016,I've Got a Headache,Vancouver,Sick,Acoustic Guitar,Acoustic Guitar,,Chill,Beard,Folk,Funny,Funny,,,,1:06,D,115,https://youtu.be/CPta_ubw2U4,"Background, Location, Topic, Mood, Instrument, Beard"
2568,01.12.2016,A Terrible Blessing,Vancouver,Poetic,Baritone Ukulele,Baritone Ukulele,,Pensive,Beard,Folk,"Rambling, Rough",Rambling,Rough,,,1:47,Bb,104,https://youtu.be/zutHrmr7q7A,"Background, Location, Topic, Mood, Instrument, Beard"
2569,1/13/2016,PCMA Twitter Song 2016,Jersey City Studio,Conference,"Synths, Organ, Drum Machine",Synths,"Organ, Drum Machine",Excited,Beard,Electro,"Funny, Fun",Funny,Fun,Twitter,PCMA,5:13,Dm,100,https://youtu.be/vitsyCbDf2U,"Background, Location, Topic, Mood, Instrument, Beard"
2570,1/14/2016,4 Myths of the Profile Picture ,Jersey City Studio,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Excited,Beard,Electro,"80s, Anthem, Fun",80s,"Anthem, Fun",,OKCupid,2:31,F,110,https://www.youtube.com/watch?v=6Q81C-D4mrY,"Background, Location, Topic, Mood, Instrument, Beard"
2571,1/15/2016,Fast Enough,Jersey City,Life,Acoustic Guitar,Acoustic Guitar,,Pensive,Beard,Folk,"Rambling, Personal, Wistful",Rambling,"Personal, Wistful",,,2:18,Eb,107,https://www.youtube.com/watch?v=H95cmGtAfC0,"Background, Location, Topic, Mood, Instrument, Beard"
